"Country","Total fertility rate","Adolescent fertility rate","Unmet need for contraception","Contraceptive prevalence rate","Pregnant women receiving prenatal care","Births attended by skilled health staff","Maternal mortality ratio","Lifetime risk of maternal mortality"
,"Any method","National estimates","Modeled estimates",
,"births per woman","births per 1,000 women ages 15-19","% of married women ages 15-49","% of married women ages 15-49",%,"% of total",,"per 100,000 live births","per 100,000 live births",,"Probability 1 woman in:"
,1990,2014,2014,2008-2014,2008-15,2008-15,1990,2008-15,2008-2014,1990,2015,2015
Afghanistan,7.5,4.8,77,..,21,48,..,39,330,1340,396,52
Albania,3,1.8,21,13,69,97,93,99,6,71,29,1900
Algeria,4.7,2.9,11,10,57,93,77,97,..,216,140,240
"American Samoa",..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..
Angola,7.2,6.1,167,..,18,..,..,..,..,1160,477,32
"Antigua and Barbuda",2.1,2.1,46,..,..,100,..,100,..,..,..,..
Argentina,3,2.3,64,..,77,98,96,97,32,72,52,790
Armenia,2.5,1.5,24,14,55,99,100,100,19,58,25,2300
Aruba,2.2,1.7,23,..,..,..,..,..,..,..,..,..
Australia,1.9,1.9,14,..,..,98,100,..,..,8,6,8700
Austria,1.5,1.4,7,..,70,..,..,..,..,8,4,18200
Azerbaijan,2.7,2,59,..,55,92,97,97,15,64,25,1600
"Bahamas, The",2.6,1.9,31,..,..,..,99,98,40,46,80,660
Bahrain,3.7,2.1,14,..,..,..,..,100,17,26,15,3000
Bangladesh,4.5,2.2,83,14,62,64,..,42,210,569,176,240
Barbados,1.7,1.8,42,20,59,..,..,98,60,58,27,2100
Belarus,1.9,1.6,19,7,63,100,100,100,0,33,4,13800
Belgium,1.6,1.8,8,..,70,..,..,..,..,9,7,8000
Belize,4.5,2.6,67,16,55,96,77,96,45,54,28,1300
Benin,6.7,4.8,85,33,18,83,..,77,350,576,405,51
Bermuda,..,1.6,..,..,..,..,..,..,..,..,..,..
Bhutan,5.6,2,23,12,66,98,..,75,86,945,148,310
Bolivia,4.9,3,71,20,61,90,42,85,268,425,206,160
"Bosnia and Herzegovina",1.8,1.3,9,9,46,87,97,100,9,28,11,6800
Botswana,4.7,2.8,34,..,53,..,77,..,160,243,129,270
Brazil,2.8,1.8,67,..,..,98,70,98,58,104,44,1200
"Brunei Darussalam",3.5,1.9,21,..,..,99,..,100,..,35,23,2300
Bulgaria,1.8,1.5,39,..,..,..,99,100,12,25,11,6200
"Burkina Faso",7,5.5,110,36,17,95,..,23,341,727,371,48
Burundi,7.5,5.9,29,32,22,99,..,60,500,1220,712,23
"Cabo Verde",5.3,2.3,74,..,..,..,..,..,10,256,42,900
Cambodia,5.6,2.6,51,13,56,95,..,89,170,1020,161,210
Cameroon,6.4,4.7,107,24,34,83,64,65,782,728,596,35
Canada,1.8,1.6,10,..,..,..,..,100,11,7,7,8800
"Cayman Islands",..,..,..,..,..,..,..,..,..,..,..,..
"Central African Republic",5.8,4.3,93,27,15,68,..,54,..,1290,882,27
Chad,7.3,6.2,137,28,6,53,..,24,..,1450,856,18
"Channel Islands",1.5,1.5,7,..,..,..,..,..,..,..,..,..
Chile,2.5,1.8,48,..,..,..,..,100,17,57,22,2600
China,2.4,1.6,7,..,88,96,94,100,23,97,27,2400
"Hong Kong SAR, China",1.3,1.2,3,..,..,..,..,..,..,..,..,..
"Macao SAR, China",1.7,1.2,3,..,..,..,..,..,..,..,..,..
Colombia,3,1.9,52,8,79,97,81,99,71,118,64,800
Comoros,6.4,4.5,70,32,19,92,..,82,172,635,335,66
"Congo, Dem. Rep.",7.1,6,123,28,20,88,..,80,850,879,693,24
"Congo, Rep.",5.3,4.9,119,18,45,93,..,93,426,603,442,45
